kommun_code,kommun_name,andel_hoechstes_einkommensquartil_pct
0162,0162 Danderyd,55
0160,0160 Täby,48
0186,0186 Lidingö,48
0182,0182 Nacka,46
0187,0187 Vaxholm,44
0125,0125 Ekerö,43
0184,0184 Solna,41
0163,0163 Sollentuna,41
0117,0117 Österåker,39
0120,0120 Värmdö,38
0115,0115 Vallentuna,38
0180,0180 Stockholm,38
0140,0140 Nykvarn,37
0138,0138 Tyresö,36
0183,0183 Sundbyberg,34
0128,0128 Salem,33
0126,0126 Huddinge,32
0123,0123 Järfälla,28
0114,0114 Upplands Väsby,27
0139,0139 Upplands-Bro,26
0136,0136 Haninge,24
0192,0192 Nynäshamn,24
0188,0188 Norrtälje,23
0191,0191 Sigtuna,23
0181,0181 Södertälje,20
0127,0127 Botkyrka,20
